Nome,Email,Regione,Provincia
Bovi Franciacorta,info@bovifranciacorta.it,Lombardia,Brescia
Bulgarini,info@vini-bulgarini.com,Lombardia,Brescia
Ca&#039; d&#039;Or,info@cadorwine.it,Lombardia,Brescia
Caminella,caminella@caminella.it,Lombardia,Bergamo
Cantina Colli Morenici Alto Mantovano,info@cantinacollimorenici.it,Lombardia,Mantova
Cantina Flonno,info@cantinaflonno.it,Lombardia,Brescia
Cantina Marangona,info@marangona.com,Lombardia,Brescia
Cantina Marsadri,info@cantinamarsadri.it,Lombardia,Brescia
Cantina Menegola,info@cantinamenegola.it,Lombardia,Sondrio
Cantina Sociale Bergamasca,segreteria@cantinabergamasca.it,Lombardia,Bergamo
Cantina Sociale di Quistello,info@cantinasocialequistello.it,Lombardia,Mantova
Cantina Sociale di Viadana,info@cantinaviadana.it,Lombardia,Mantova
Cantina Storica di Montù Beccaria,ilmontu@ilmontu.com,Lombardia,Pavia
Cantina Turina F.lli,info@turinavini.it,Lombardia,Brescia
Cantina Valente,info@cantinavalente.it,Lombardia,Mantova
Cantine Angelinetta,info@cantineangelinetta.com,Lombardia,Como
Cantine Cavallotti,info@cantinecavallotti.it,Lombardia,Pavia
Cantine Conte Carlo Giorgi di Vistarino,info@contevistarino.it,Lombardia,Pavia
Cantine Giovanni Avanzi,info@avanzi.net,Lombardia,Brescia
Cantine Monchieri,info@cantinemonchieri.it,Lombardia,Brescia
Cantine Pirovano,vini@vinicantinepirovano.com,Lombardia,Lecco
Cantine Rossella,info@cantinerossella.it,Lombardia,Pavia
Cantine Scarpari Felice,contatti@cantinescarparifelice.it,Lombardia,Brescia
Cantine Scolari,info@cantinescolari.it,Lombardia,Brescia
Cantine Virgili,info@cantinevirgili.it,Lombardia,Mantova
Casa Valdemagna,casavaldemagna@gmail.com,Lombardia,Milano
Casa Vinicola Caldirola,casa.vinicola@caldirola.it,Lombardia,Lecco
Casa Vinicola Cesari Gerardo,cesari-spa@cesari-spa.it,Lombardia,Brescia
Casa Vinicola Decordi,vinicola@decordi.it,Lombardia,Cremona
Casa Vinicola Fratelli Bettini,info@vinibettini.it,Lombardia,Sondrio
Casa Vinicola Triacca,info@triacca.com,Lombardia,Sondrio
Casa Vinicola Zenegaglia Carlo,info@carlozenegaglia.com,Lombardia,Brescia
Cascina Castello,info@cascinacastello.it,Lombardia,Bergamo
Cascina Gnocco,info@cascinagnocco.it,Lombardia,Pavia
Cascina Ronchetto,info@cascinaronchetto.it,Lombardia,Varese
Casello Bondoni,info@casellobondoni.it,Lombardia,Brescia
Castello degli Angeli,info@castellodegliangeli.com,Lombardia,Bergamo
Castello di Grumello,info@castellodigrumello.it,Lombardia,Bergamo
Castello di Gussago La Santissima,info@castellodigussago.it,Lombardia,Brescia
Castello di Luzzano,info@castelloluzzano.it,Lombardia,Pavia
Colletto,info@collettoagribiorelais.it,Lombardia,Bergamo
Contadi Gasparotti,info@contadigasparotti.it,Lombardia,Sondrio
Conti Sertoli Salis,info@sertolisalis.com,Lombardia,Sondrio
Convento San Lorenzo,info@conventosanlorenzo.it,Lombardia,Sondrio
Corte Montini,info@cortemontini.it,Lombardia,Pavia
Cà del Vént,info@cadelvent.com,Lombardia,Brescia
Delai Sergio,info@delaisergio.it,Lombardia,Brescia
Eligio Magri,info@eligiomagri.it,Lombardia,Bergamo
Fadenti,filippo@fadentifranciacorta.it,Lombardia,Brescia
Francesco Minini,info@cantineminini.it,Lombardia,Brescia
Frontemura,frontemura@gmail.com,Lombardia,Bergamo
Giovanni Pacchioni,info@aziendagricolapacchioni.it,Lombardia,Mantova
Giubertoni,info@cantinegiubertoni.it,Lombardia,Mantova
Gozzi,info@cantinagozzi.com,Lombardia,Mantova
Il Cipresso,a.cuni@ilcipresso.info,Lombardia,Bergamo
Joaninus De Pedrinis,info@pedrinis.it,Lombardia,Bergamo
La Cantina dei Feudi,info@cantinadeifeudi.it,Lombardia,Bergamo
La Collina,info@lacollina.wine,Lombardia,Bergamo
La Contessa,lacontessa@vinilacontessa.it,Lombardia,Brescia
La Corona,info@aziendalacorona.com,Lombardia,Bergamo
La Fiuma,fzappellini@gmail.com,Lombardia,Mantova
La Grazia,info@lagrazia.eu,Lombardia,Sondrio
La Marzuola,info@marzuola.it,Lombardia,Pavia
La Rovere,la_rovere_vini@live.it,Lombardia,Pavia
Le Fracce,commerciale@lefracce.com,Lombardia,Pavia
Le Tenute del Garda,info@tenutedelgarda.it,Lombardia,Brescia
Lefiole,info@lefiole.com,Lombardia,Pavia
Losito &amp; Guarini,info@lositoeguarini.it,Lombardia,Pavia
Mantovani,info@mantovaniwine.com,Lombardia,Pavia
Marchese Adorno,info@marcheseadorno-wines.it,Lombardia,Pavia
Medolago Albani,info@medolagoalbani.it,Lombardia,Bergamo
Milan Bordignon,info@vinimilanbordignon.it,Lombardia,Brescia
Montenisa,info@montenisa.it,Lombardia,Brescia
Nettari dei Santi,info@viniriccardi.com,Lombardia,Milano
Nicola Gatta,info@nicolagatta.eu,Lombardia,Brescia
Nobili,info@vininobili.it,Lombardia,Sondrio
OnePiò,info@onepio.it,Lombardia,Brescia
Patrizia Cadore,info@vinicadore.com,Lombardia,Brescia
Pietro Rossi,info@rossipietro.it,Lombardia,Pavia
Podere Cavaga,commerciale@cavaga.it,Lombardia,Bergamo
Podere San Giorgio,info@poderesangiorgio.it,Lombardia,Pavia
Podere Selva Capuzza,info@selvacapuzza.it,Lombardia,Brescia
Poderi di San Pietro,info@poderidisanpietro.it,Lombardia,Milano
Rainoldi Aldo,rainoldi@rainoldi.com,Lombardia,Sondrio
Rebollini,info@rebollini.it,Lombardia,Pavia
Riva di Franciacorta,info@rivadifranciacorta.it,Lombardia,Brescia
Rocca,info@roccavini.com,Lombardia,Monza E Della Brianza
Rocche dei Vignali,info@rocchedeivignali.it,Lombardia,Brescia
Ronco della Fola,info@roncodellafola.com,Lombardia,Bergamo
Salvalai,salvalaiwines@salvalai.it,Lombardia,Brescia
San Bernardo,info@aziendasanbernardo.it,Lombardia,Brescia
Scuropasso,info@scuropasso.it,Lombardia,Pavia
Sincette,info@sincette.it,Lombardia,Brescia
Società Agricola Pratum Coller,info@pratumcoller.it,Lombardia,Brescia
Stefano Losi Vini,info@stefanolosivini.it,Lombardia,Pavia
Tenuta Borgolano,info@tenutaborgolano.it,Lombardia,Pavia
Tenuta Cassetti,info@tenutacassetti.it,Lombardia,Brescia
Tenuta Le Mojole,info@lemojole.it,Lombardia,Bergamo
Tenuta Maggiore,info@tenutamaggiore.it,Lombardia,Pavia
Tenuta Malpaga,tenutamalpaga@malpaga.com,Lombardia,Pavia
Tenuta Moraschi,olivieromoraschi@virgilio.it,Lombardia,Brescia
Tenuta Pegazzera,info@pegazzera.it,Lombardia,Pavia
Tenuta Riccardi,info@tenutariccardi.com,Lombardia,Pavia
Tenuta Roveglia,info@tenutaroveglia.it,Lombardia,Brescia
Tenuta Scarpa Colombi,tenutascarpacolombi@mclink.net,Lombardia,Pavia
Tenuta Scerscé,info@tenutascersce.it,Lombardia,Sondrio
Tenuta Tovaglieri,info@tenutatovaglieri.it,Lombardia,Varese
Terrazze di Montevecchia,terrazze@terrazzedimontevecchia.com,Lombardia,Lecco
Terre Bentivoglio,info@terrebentivoglio.it,Lombardia,Pavia
Terre di Erbanno,info@terredierbanno.com,Lombardia,Brescia
Testori Quinto e Pietro,info@testorivini.it,Lombardia,Pavia
Torrevilla Viticoltori Associati,info@torrevilla.it,Lombardia,Pavia
Valba,lm.valba@gmail.com,Lombardia,Bergamo
Verga,info@verga.it,Lombardia,Como
Vini Casarini,info@vinicasarini.com,Lombardia,Pavia
Vinicola Negri,info@vinicolanegri.com,Lombardia,Mantova
Vitea,info@cantinevitea.com,Lombardia,Pavia
Vitivinicola Laghi D&#039;Insubria,vitinsubria@alice.it,Lombardia,Varese
Zuliani,info@vinizuliani.it,Lombardia,Brescia
Accattoli,info@viniaccattoli.it,Marche,Macerata
Azienda Agraria Degli Azzoni Avogadro Carradori,info@degliazzoni.it,Marche,Macerata
Azienda Agraria Guerrieri,info@aziendaguerrieri.it,Marche,Pesaro Urbino
Azienda Agraria La Collina,info@sangiovese.it,Marche,Pesaro Urbino
Azienda Agraria Marchetti,info@marchettiwines.it,Marche,Ancona
Azienda Agricola Capinera,info@capinera.com,Marche,Macerata
Azienda Agricola Casalfarneto,info@casalfarneto.it,Marche,Ancona
Azienda Agricola Castelli Maria Pia,info@mariapiacastelli.it,Marche,Ascoli Piceno
Azienda Agricola Conte Leopardi Dittajuti,info@conteleopardi.com,Marche,Ancona
Azienda Agricola Conti di Buscareto,info@contidibuscareto.com,Marche,Ancona
Azienda Agricola Damiani,info@damianivini.it,Marche,Ascoli Piceno
Azienda Agricola Le Caniette,info@lecaniette.it,Marche,Ascoli Piceno
Azienda Agricola Madonnabruna,azienda@madonnabruna.it,Marche,Ascoli Piceno
Azienda Agricola Marconi Maurizio,commerciale@cantinemarconi.it,Marche,Ancona
Azienda Agricola Mariotti Cesare,info@cantinemariotti.it,Marche,Pesaro Urbino
Azienda Agricola Oasi degli Angeli,info@kurni.it,Marche,Ascoli Piceno
Azienda Agricola Poderi dei Colli,info@poderideicolli.it,Marche,Ascoli Piceno
Azienda Agricola Quacquarini Alberto,quacquarini@tiscalinet.it,Marche,Macerata
Azienda Agricola Quaresima,info@aziendaquaresima.it,Marche,Ancona
Azienda Agricola Roberto Lucarelli,info@roberto-lucarelli.com,Marche,Pesaro Urbino
Azienda Agricola Saladini Pilastri,info@saladinipilastri.it,Marche,Ascoli Piceno
Azienda Agricola San Francesco,info@vinicherri.it,Marche,Ascoli Piceno
Azienda Agricola San Savino,info@sansavino.com,Marche,Ascoli Piceno
Azienda Agricola Santa Cassella,info@santacassella.it,Marche,Macerata
Azienda Agricola Serfilippi,vinicola.serfilippi@libero.it,Marche,Pesaro Urbino
Azienda Agricola Strologo Silvano,s.strologo@vinorossoconero.com,Marche,Ancona
Azienda Agricola Terra Fageto,info@terrafageto.it,Marche,Ascoli Piceno
Azienda Agricola Terra di Giove,info@terredigiove.it,Marche,Pesaro Urbino
Azienda Agricola Valter Mattoni,info@valtermattoni.it,Marche,Ascoli Piceno
Azienda Agricola Valturio,valturio@valturio.com,Marche,Pesaro Urbino
Azienda Vinicola Baldarelli Valerio,info@vinibaldarelli.com,Marche,Ancona
Azienda Vinicola Carassanese,info@vinicolacarassanese.it,Marche,Ascoli Piceno
Azienda Vinicola Sparapani Frati Bianchi,info@fratibianchi.it,Marche,Ancona
Azienda Vitivinicola Rocchi,parisrocchi@virgilio.it,Marche,Macerata
Azienda Vitivinicola Vicari Nazzareno e Vico,info@vicarivini.it,Marche,Ancona
Benforte,g.c.benforte@gmail.com,Marche,Ancona
Berluti,info@berlutivini.it,Marche,Ancona
Boccafosca,info@boccafosca.it,Marche,Ancona
Cantina Cardocchia,info@cardocchia.it,Marche,Ascoli Piceno
Cantina Cavalieri,cantina.cavalieri@libero.it,Marche,Macerata
Cantina Gozzana,info@cantinagozzana.it,Marche,Ascoli Piceno
Cantina Ma.Ri.Ca.,info@cantinamarica.it,Marche,Ancona
Cantina Polenta,info@cantinapolenta.it,Marche,Ancona
Cantina dei Colli Ripani,info@colliripani.com,Marche,Ascoli Piceno
Cantine Capecci,info@vinicapecci.it,Marche,Ascoli Piceno
Cantine Enzo Mecella,enzomecella@enzomecella.com,Marche,Ancona
Cantine Poggio Montali,carlapanicucci@libero.it,Marche,Ancona
Cantine Politi,info@cantinepoliti.it,Marche,Ancona
Cantine di Castignano,mail@cantinedicastignano.com,Marche,Ascoli Piceno
Carminucci,carminucci@carminucci.com,Marche,Ascoli Piceno
Casa Vinicola Piersanti,info@piersantivini.com,Marche,Ancona
Casa Vinicola Silvestroni,info@silvestroni.it,Marche,Ancona
Casalis Douhet,info@casalisdouhet.it,Marche,Macerata
Cooperativa Agricola Montesanto,vinimontesanto@vinimontesanto.com,Marche,Macerata
Crespaia,info@crespaia.it,Marche,Pesaro Urbino
Di Ruscio,francesco@cantinadiruscio.it,Marche,Fermo
Di Sante,info@disantevini.it,Marche,Pesaro Urbino
Eredi Cesaroni,info@eredi-cesaroni.it,Marche,Ancona
Fattoria Colmone della Marca,info@fattoriacolmone.it,Marche,Macerata
Fattoria Coroncino,info@coroncino.it,Marche,Ancona
Fattoria Mancini,info@fattoriamancini.com,Marche,Pesaro Urbino
Fattoria San Lorenzo,info@fattoriasanlorenzo.com,Marche,Ancona
Fazi Battaglia,info@fazibattaglia.it,Marche,Ancona
Fontezoppa,info@cantinefontezoppa.com,Marche,Macerata
Goroni,info@goroni.it,Marche,Ancona
Il Conte Villa Prandone,info@ilcontevini.it,Marche,Ascoli Piceno
La Fontursia,info@lafontursia.com,Marche,Ascoli Piceno
La Vite Monteschiavo,info@monteschiavo.it,Marche,Ancona
Lamelia,info@lameliavini.it,Marche,Macerata
Landi Luciano,aziendalandi@aziendalandi.it,Marche,Ancona
Le Corti dei Farfensi,info@lecortideifarfensi.it,Marche,Fermo
Liana Peruzzi,info@spumantebio-peruzzi.it,Marche,Ancona
Lumavite,info@lumavite.it,Marche,Fermo
Monte Torto,sanfloriano@libero.it,Marche,Ancona
Murola,info@murola.it,Marche,Macerata
Pisaurum,info@pisaurum.it,Marche,Ancona
Rocca dei Forti,info@roccadeiforti.it,Marche,Ancona
Sgaly,info@sgaly.it,Marche,Fermo
Società Agricola Cignano,info@cantinacignano.it,Marche,Pesaro Urbino
Società Agricola San Filippo,info@vinisanfilippo.it,Marche,Ascoli Piceno
Tenuta Ca&#039; Pia,info@tenutacapia.it,Marche,Ascoli Piceno
Tenuta Cocci Grifoni,info@tenutacoccigrifoni.it,Marche,Ascoli Piceno
Tenuta Colpaola,info@colpaola.it,Marche,Macerata
Tenuta De Angelis,info@tenutadeangelis.it,Marche,Ascoli Piceno
Tenuta Santi Giacomo e Filippo,info@tsgf.it,Marche,Pesaro Urbino
Terre Cerquaferrata,info@cerquaferrata.it,Marche,Ascoli Piceno
Villa Pigna,villapigna@villapigna.com,Marche,Ascoli Piceno
Viticoltori Finocchi,info@finocchiviticoltori.it,Marche,Ancona
Azienda Agricola Colle Sereno,info@collesereno.com,Molise,Campobasso
Azienda Agricola D&#039;Uva,info@cantineduva.com,Molise,Campobasso
Azienda Agricola Di Majo Norante,vini@dimajonorante.it,Molise,Campobasso
Azienda Agricola Salvatore Pasquale,info@cantinesalvatore.it,Molise,Campobasso
Cantina Cliternia,info@cliternia.it,Molise,Campobasso
Cantina Valtappino,info@cantinavaltappino.com,Molise,Campobasso
Cantine Borgo di Colloredo,info@borgodicolloredo.com,Molise,Campobasso
Catabbo,info@catabbo.it,Molise,Campobasso
Tenimenti Grieco,info@tenimentigrieco.it,Molise,Campobasso
Terresacre,info@terresacre.net,Molise,Campobasso
Agricola Bes,info@agricolabes.it,Piemonte,Vercelli
Agricola Gian Piero Marrone,marrone@agricolamarrone.com,Piemonte,Cuneo
Agricola Porello Marco,marcoporello@porellovini.it,Piemonte,Cuneo
Agricola Sulin,info@sulin.it,Piemonte,Asti
Alberto Voerzio,info@voerzioalberto.com,Piemonte,Cuneo
Alessandro Motta,info@mottaalessandro.com,Piemonte,Asti
Alfiero Boffa,vigneuniche@gmail.com,Piemonte,Asti
Alvio Pestarino,info@alviopestarino.com,Piemonte,Alessandria
Amalia Cascina in Langa,info@cascinaamalia.it,Piemonte,Cuneo
Andrea Oberto,info@andreaoberto.it,Piemonte,Cuneo
Antica Azienda Ca&#039; dei Mandorli,stefanoricagno@cadeimandorli.com,Piemonte,Asti
Antica Casa Vinicola Scarpa,info@scarpavini.it,Piemonte,Asti
Antica Cascina dei Conti di Roero,info@oliveropietro.it,Piemonte,Cuneo
Antiche Cantine Brema,info@vinibrema.com,Piemonte,Asti
Antichi Vigneti di Cantalupo,info@cantalupo.net,Piemonte,Novara
Anzivino,info@anzivino.it,Piemonte,Vercelli
Ariano &amp; Ariano Associati,ariano@ariano.it,Piemonte,Cuneo
Ascheri Giacomo,ascherivini@tin.it,Piemonte,Cuneo
Aurelio Settimo,aureliosettimo@aureliosettimo.com,Piemonte,Cuneo
Azienda Agricola Abbona Anna Maria,info@annamariabbona.it,Piemonte,Cuneo
Azienda Agricola Abbona Celso &amp; Figli,caneuva@caneuva.com,Piemonte,Cuneo
Azienda Agricola Abrigo Giovanni,info@abrigo.it,Piemonte,Cuneo
Azienda Agricola Alessandria Silvio,alessandriasilvio@tiscali.it,Piemonte,Cuneo
Azienda Agricola Almondo Giovanni,almondo@giovannialmondo.com,Piemonte,Cuneo
Azienda Agricola Barabino,info@aziendaagricolabarabino.it,Piemonte,Alessandria
Azienda Agricola Battaglino Fabrizio,info@battaglino.com,Piemonte,Cuneo
Azienda Agricola Beccaria Davide,beccaria@beccaria-vini.it,Piemonte,Alessandria
Azienda Agricola Bel Colle,info@belcolle.it,Piemonte,Cuneo
Azienda Agricola Benito Favaro,info@cantinafavaro.it,Piemonte,Torino
Azienda Agricola Bianchi,info@cantinabianchi.it,Piemonte,Novara
Azienda Agricola Bocchino Giuseppe,info@vinibocchino.it,Piemonte,Asti
Azienda Agricola Boeri Alfonso,info@boerivini.it,Piemonte,Asti
Azienda Agricola Bolla Lorenzo,info@vinibiobula.it,Piemonte,Cuneo
Azienda Agricola Bolmida Silvano,info@silvanobolmida.it,Piemonte,Cuneo
Azienda Agricola Bondi,info@bondivini.it,Piemonte,Alessandria
Azienda Agricola Borgo Maragliano,info@borgomaragliano.com,Piemonte,Asti
Azienda Agricola Boschis,info@boschisfrancesco.it,Piemonte,Cuneo
Azienda Agricola Bosio Egidio,bosiovini@libero.it,Piemonte,Cuneo
Azienda Agricola Bovio Gianfranco,boviogianfranco@boviogianfranco.com,Piemonte,Cuneo
Azienda Agricola Bricco Mondalino,info@gaudiovini.it,Piemonte,Alessandria
Azienda Agricola Bricco Rosso,info@briccorosso.it,Piemonte,Cuneo
Azienda Agricola Bricco del Cucù,info@briccocucu.com,Piemonte,Cuneo
Azienda Agricola Broccardo,broccardowines@broccardo.it,Piemonte,Cuneo
Azienda Agricola Bussia Soprana,bussiasoprana@virgilio.it,Piemonte,Cuneo
Azienda Agricola Busso Piero,bussopiero@bussopiero.com,Piemonte,Cuneo
Azienda Agricola Ca &#039;d Carussin,vinicarussin@gmail.com,Piemonte,Asti
Azienda Agricola Ca&#039; Nova,mailbox@cascinacanova.it,Piemonte,Novara
Azienda Agricola Ca&#039; San Carlo,info@casancarlo.it,Piemonte,Alessandria
Azienda Agricola Ca&#039; del Bric,info@cadelbric.com,Piemonte,Alessandria
Azienda Agricola Ca&#039; del Principe,info@cadelprincipe.com,Piemonte,Cuneo
Azienda Agricola Cadia,info@cadia.it,Piemonte,Cuneo
Azienda Agricola Cagliero,info@cagliero.com,Piemonte,Cuneo
Azienda Agricola Cairel,cairel@cairel.it,Piemonte,Cuneo
Azienda Agricola Calorio Vincenzo,info@caloriovincenzo.com,Piemonte,Cuneo
Azienda Agricola Camparo,info@camparo.it,Piemonte,Cuneo
Azienda Agricola Canaparo Roberto,info@canaparoroberto.it,Piemonte,Cuneo
Azienda Agricola Canato Marco,info@canatovini.it,Piemonte,Alessandria
Azienda Agricola Cardelli Danilo,info@cardellidanilo.it,Piemonte,Cuneo
Azienda Agricola Cascina Ballarin,cascina@cascinaballarin.it,Piemonte,Cuneo
Azienda Agricola Cascina Chicco,cascinachicco@cascinachicco.com,Piemonte,Cuneo
Azienda Agricola Cascina Christiana,a.bellazzini@hotmail.it,Piemonte,Asti
Azienda Agricola Cascina Corte,info@cascinacorte.it,Piemonte,Cuneo
Azienda Agricola Cascina Gasparda,info@cascinagasparda.com,Piemonte,Alessandria
Azienda Agricola Cascina Gramolere,info@cascinagramolere.com,Piemonte,Cuneo
Azienda Agricola Cascina Pian D&#039;Or,info@cascinapiandor.com,Piemonte,Cuneo
Azienda Agricola Cascina Poggio a Mezzogiorno,info@rubrodinoche.it,Piemonte,Asti
Azienda Agricola Cascina Rocca,molinofranco@cascinarocca.com,Piemonte,Cuneo
Azienda Agricola Casetta,info@flli-casetta.it,Piemonte,Cuneo
Azienda Agricola Castaldi Francesca,francesca@cantinacastaldi.it,Piemonte,Novara
Azienda Agricola Castino F.lli,info@castinowine.it,Piemonte,Asti
Azienda Agricola Caudrina,romano@caudrina.it,Piemonte,Cuneo
Azienda Agricola Cavo Valentino,info@cavovalentino.it,Piemonte,Alessandria
Azienda Agricola Cerrino,info@cerrinovini.it,Piemonte,Cuneo
Azienda Agricola Ceste Franco,info@cestevini.com,Piemonte,Cuneo
Azienda Agricola Chiarle,chiarle75@tiscali.it,Piemonte,Cuneo
Azienda Agricola Cieck,info@cieck.it,Piemonte,Torino
Azienda Agricola Cocito Dario,info@cocitodario.it,Piemonte,Asti
Azienda Agricola Colla Angelo,vini@angelocolla.it,Piemonte,Cuneo
Azienda Agricola Colle Manora,info@collemanora.it,Piemonte,Alessandria
Azienda Agricola Conterno Aldo,info@poderialdoconterno.com,Piemonte,Cuneo
Azienda Agricola Corino Giovanni,info@corino.it,Piemonte,Cuneo
Azienda Agricola Cravanzola,cravanzola@cravanzola.it,Piemonte,Cuneo
Azienda Agricola Criolin,criolin@yahoo.it,Piemonte,Asti
Azienda Agricola Curto Marco,info@vinicurto.it,Piemonte,Cuneo
Azienda Agricola Cà di Tulin,info@caditulin.it,Piemonte,Asti
Azienda Agricola Damilano,info@damilanog.com,Piemonte,Cuneo
Azienda Agricola Dario Montobbio,info@dariomontobbio.it,Piemonte,Alessandria
Azienda Agricola Degiorgis Sergio,info@degiorgis-sergio.com,Piemonte,Cuneo
Azienda Agricola Demarie Giovanni,demarie@demarie.com,Piemonte,Cuneo
Azienda Agricola Diego Conterno,info@diegoconterno.it,Piemonte,Cuneo
Azienda Agricola Drocco Luigi,info@vinidrocco.it,Piemonte,Cuneo
Azienda Agricola Emilio Vada,info@emiliovada.com,Piemonte,Asti
Azienda Agricola Erbaluna,biovini@erbaluna.it,Piemonte,Cuneo
Azienda Agricola Ferrero Federico,info@ferrerofederico.it,Piemonte,Cuneo
Azienda Agricola Forteto della Luja,info@fortetodellaluja.it,Piemonte,Asti
Azienda Agricola Fratelli Abrigo,info@abrigofratelli.com,Piemonte,Cuneo
Azienda Agricola Fratelli Durando,info@fratellidurando.it,Piemonte,Asti
Azienda Agricola Fratelli Ferro,info@viniferro.com,Piemonte,Cuneo
Azienda Agricola Fratelli Grasso,info@grassofratelli.com,Piemonte,Cuneo
Azienda Agricola Fratelli Pavia,info@fratellipavia.it,Piemonte,Asti
Azienda Agricola Fratelli Savigliano,savigliano@saviglianovini.it,Piemonte,Cuneo
Azienda Agricola Gallina Pierino,info@gallinapierino.com,Piemonte,Cuneo
Azienda Agricola Gallino Filippo,info@filippogallino.com,Piemonte,Cuneo
Azienda Agricola Gatti Piero,az_agr_gattipiero@hotmail.com,Piemonte,Cuneo
Azienda Agricola Ghignone,info@ghignonevini.it,Piemonte,Asti
Azienda Agricola Ghiomo,info@ghiomo.it,Piemonte,Cuneo
Azienda Agricola Ghione Anna,info@ghionewine.com,Piemonte,Asti
Azienda Agricola Ghisolfi Attilio,ghisolfi@ghisolfi.com,Piemonte,Cuneo
Azienda Agricola Gianni Doglia,info@giannidoglia.it,Piemonte,Asti
Azienda Agricola Gigi Bianco,susanna@gigibianco.it,Piemonte,Cuneo
Azienda Agricola Giordano Luigi,luigigiordano@luigigiordano.it,Piemonte,Cuneo
Azienda Agricola Giribaldi Mario,info@vinigiribaldi.it,Piemonte,Cuneo
Azienda Agricola Giuseppe Mascarello e Figlio,mauromascarello@mascarello1881.com,Piemonte,Cuneo
Azienda Agricola Gomba,info@gombaboschetti.it,Piemonte,Cuneo
Azienda Agricola Gozzelino Sergio,gozzelino@tin.it,Piemonte,Asti
Azienda Agricola Grasso Elio,info@eliograsso.it,Piemonte,Cuneo
Azienda Agricola Icardi Pierino,icardivini@libero.it,Piemonte,Cuneo
Azienda Agricola Il Botolo,info@ilbotolo.com,Piemonte,Asti
Azienda Agricola Josetta Saffirio,info@josettasaffirio.com,Piemonte,Cuneo
Azienda Agricola L&#039;Alegra,info@alegra.it,Piemonte,Asti
Azienda Agricola L&#039;Armangia,info@armangia.it,Piemonte,Asti
Azienda Agricola La Badia,info@labadiavini.it,Piemonte,Asti
Azienda Agricola La Ballerina,info@laballerinavini.it,Piemonte,Asti
Azienda Agricola La Briusa,info@labriusawinery.com,Piemonte,Asti
Azienda Agricola La Casa in Collina,casaincollina@casaincollina.com,Piemonte,Asti
Azienda Agricola La Contea,lacontea@la-contea.it,Piemonte,Cuneo
Azienda Agricola La Giribaldina,info@giribaldina.com,Piemonte,Asti
Azienda Agricola La Gironda,info@lagironda.com,Piemonte,Asti
Azienda Agricola La Masera,info@lamasera.it,Piemonte,Torino
Azienda Agricola La Palazzina,info@bramaterralapalazzina.com,Piemonte,Vercelli
Azienda Agricola La Querciola,info@laquerciola.com,Piemonte,Cuneo
Azienda Agricola La Spinetta,info@la-spinetta.com,Piemonte,Asti
Azienda Agricola La Tribuleira,info@vinilatribuleira.it,Piemonte,Cuneo
Azienda Agricola Le Strette,lestrette@lestrette.com,Piemonte,Cuneo
Azienda Agricola Maccagno Livio,vini@cantinamaccagno.it,Piemonte,Cuneo
Azienda Agricola Malabaila di Canale,cantina@malabaila.com,Piemonte,Cuneo
Azienda Agricola Malvirà,malvira@malvira.com,Piemonte,Cuneo
Azienda Agricola Manzone F.lli,manz.one@tiscali.it,Piemonte,Cuneo
Azienda Agricola Manzone Paolo,paolomanzone@barolomeriame.com,Piemonte,Cuneo
Azienda Agricola Marcalberto,info@marcalberto.it,Piemonte,Cuneo
Azienda Agricola Marco Capra,info@marcocapravini.it,Piemonte,Cuneo
Azienda Agricola Marenco Aldo,info@marencoaldo.it,Piemonte,Cuneo
Azienda Agricola Marinacci,vini@manuelmarinacci.com,Piemonte,Cuneo
Azienda Agricola Mario Torelli,info@vinitorelli.it,Piemonte,Asti
Azienda Agricola Marsaglia Emilio,cantina@cantinamarsaglia.it,Piemonte,Cuneo
Azienda Agricola Massucco,info@massuccovini.com,Piemonte,Cuneo
Azienda Agricola Mauro Sebaste,maurosebaste@maurosebaste.it,Piemonte,Cuneo
Azienda Agricola Mirù,info@aziendaagricolamiru.it,Piemonte,Novara
Azienda Agricola Molino Mauro,info@mauromolino.com,Piemonte,Cuneo
Azienda Agricola Moncucchetto,info@moncucchetto.it,Piemonte,Asti
Azienda Agricola Monti Paolo,wine@paolomonti.com,Piemonte,Cuneo
Azienda Agricola Morando Silvio,morando@morandosilvio.it,Piemonte,Alessandria
Azienda Agricola Mossio F.lli,mossio@mossio.com,Piemonte,Cuneo
Azienda Agricola Mustela,vinimustela@libero.it,Piemonte,Cuneo
Azienda Agricola Nada Fiorenzo,nadafiorenzo@nada.it,Piemonte,Cuneo
Azienda Agricola Natta,info@fratellinatta.it,Piemonte,Asti
Azienda Agricola Negretti,info@negrettivini.com,Piemonte,Cuneo
Azienda Agricola Negro Angelo &amp; Figli,negro@negroangelo.it,Piemonte,Cuneo
Azienda Agricola Negro Maria Luigina,info@negromarialuigina.com,Piemonte,Asti
Azienda Agricola Nuova Cappelletta,info@nuovacappelletta.it,Piemonte,Alessandria
Azienda Agricola Olivetta,info@viniolivetta.it,Piemonte,Alessandria
Azienda Agricola Paitin,paitin@hotmail.it,Piemonte,Cuneo
Azienda Agricola Palazzo Rosso,info@palazzorosso.it,Piemonte,Cuneo
Azienda Agricola Paolo Avezza,contatti@paoloavezza.com,Piemonte,Asti
Azienda Agricola Pavia Agostino &amp; Figli,agostinopavia@agostinopavia.it,Piemonte,Asti
Azienda Agricola Pelassa Mario,pelassa@pelassa.com,Piemonte,Cuneo
