Azienda,Conosciuti a / Fonte,Contacting,Email,Sitoweb,Indirizzo,cap,città,provincia,regione,contatto,Telefono,P.Iva,CODICE FISCALE,CODICE UNIVOCO,Annotazioni,shop on line,Closing,Presentazione,Ultimo contatto,Duplicato
Castello Di Potentino,,,mail@potentino.com,potentino.com/,"Località Potentino, 3",58038,Seggiano,Grosseto,Toscana,,0564950014,,,,vino olio oggettistica hanno albergo e visite in vigna,,,,12/10/2024,
Borgo Dei Posseri,,,info@borgodeiposseri.com,borgodeiposseri.com,"Località Pozzo Basso, 1",38061,Ala,Trento,Trentino Alto Adige,,464671899,,,,vedi : compagniadelvino.com,,,,3/5/2025,
Doro Princic,,,doroprincic@virgilio.it,cuzziolgrandivini.it/produttore/doro-princic/,Località Pradis,34071,Cormons,Gorizia,Friuli Venezia Giulia,,048160723,,,,contattare per vineis. lo acquistiamo a breve con enoika distribuzione,,,,2/10/2025,
Cociancig,,,vini.cociancig@libero.it,cociancig.it/azienda.html,Località Pradis 18,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,3493053357,,,,,,,,2/14/2025,
Carlo Di Pradis,,,info@carlodipradis.it,carlodipradis.it/,Località Pradis 22/Bis,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,481631575,,,,No ribolla,,,,2/12/2025,
Princic Alessandro,,,nd,ND,Località Pradis 5,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,ND,,,,,,,,,
Paolo Caccese,,,info@paolocaccese.it,paolocaccese.it/,Località Pradis 6,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,48161062,,,,,,,,2/17/2025,
Tomadoni Umberto,,,nd,ND,Località Pradis 9,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,ND,,,,,,,,,
Picech Roberto - Le Vigne Del Ribel,FIVI,,info@picech.com,picech.com,"Località Pradis, 11",34071,Cormòns,Gorizia,Friuli Venezia Giulia,,48160347,,,,"INTERESSANTE, studiamo una strategia",,,,2/17/2025,
Azienda Agricola Antonella Corda,,,info@antonellacorda.it,antonellacorda.it/,"Località Pranu Raimondo Strada Statale 466 Km 6,800",09040,Serdiana,Cagliari,Sardegna,,0707966300,,,,si visite e ospitality,,,,12/15/2024,
Lupinc,FIVI,,info@lupinc.it,"lupinc,it","Località Prepotto, 11",34011,Prepotto,Trieste,Friuli Venezia Giulia,,3397456210,,,,,,,,2/16/2025,
Tenute Filigheddu,,,info@tenutefiligheddu.it,tenutefiligheddu.it,Località Pulcheddu,07020,Palau,Sassari,Sardegna,,3495165775,,,,vermentino di gallura doc,,,,12/15/2024,
Cesarini Sartori - Aliara Vini Società Agricola Srl,,,info@rossobastardo.it,cesarinisartori.it/,Località Purgatorio - Torri Di Barattano,06035,Gualdo Cattaneo,Perugia,Umbria,,074299590,03541160549,,,Premiata a Vinitaly come Cantina Umbra dell’anno 2022 fanno degustazioni molto carino il sito nn cè email mandato messaggio su modulo di contatto chiamare,,,,1/15/2025,
Dario Coos,,,info@dariocoos.it,dariocoos.it/,"Località Ramandolo - Via Ramandolo, 5",33045,Nimis,Udine,Friuli Venezia Giulia,,3312296555,,,,si visite,,,,2/10/2025,
Elvio Cogno,,,cognowines@cognowines.com ,cognowines.com,"Località Ravera, 2",12060,Novello,Cuneo,Piemonte,,0173744006 ,02234420046,,,,,,,,
Le Lase,FIVI,,info@lelase.com,lelase.com,"Località Resano, S.C.",01028,Orte,Viterbo,Lazio,,7611916179,,,,,,,,1/25/2025,
Riecine,,,info@riecine.it,riecine.it,"Località Riecine, 28/B",53013,Gaiole in Chianti,Siena,Toscana,,0577 749 098,,,,,,,,,
Rizzi,,,cantinarizzi@cantinarizzi.it ,cantinarizzi.com,"Località Rizzi, 15",12050,Treiso,Cuneo,Piemonte,,0173638161 ,,,,,,,,,
Gigante Adriano,,,info@adrianogigante.it,adrianogigante.it,"Località Rocca Bernarda, 3",33040,Corno di Rosazzo,Udine,Friuli Venezia Giulia,Adriano Gigante,0432755835,,,,,,,,2/10/2025,
Cantina Altarocca ,,,info@altaroccawineresort.com,altaroccawineresort.com/,"Località Rocca Ripesena, 62",05010,Orvieto,Terni,Umbria,,0763344210,,,,si hospitality - wine resort,,,,12/17/2024,
Palazzone,FIVI,,info@palazzone.com,palazzone.com,"Località Rocca Ripesena, 68",05018,Orvieto,Terni,Umbria,,763344921,,,,,,,,12/15/2024,
Castello Di Romitorio,,,info@chiavini.com,castelloromitorio.com,"Località Romitorio, 279",53024,Montalcino,Siena,Toscana,,0577847212,,,,consorzio brunello,,,,12/15/2024,
Roncada,,,info@roncadavini.it,ND,Località Roncada 5,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,48161394,,,,,,,,2/19/2025,
Tenuta Colombarola,FIVI,,rattiserenella@tenutacolombarola.com,tenutacolombarola.it,"Località Ronco Rosso, S.C.",29031,Alta Val Tidone,Piacenza,Emilia Romagna,,523863932,,,,,,,,12/6/2024,
Pascolo Alessandro,,,info@vinipascolo.com,vinipascolo.com/,Località Ruttars 1,34070,Dolegna del Collio,Gorizia,Friuli Venezia Giulia,,48161144,,,,da valutare non mi fanno impazzire,,,,2/17/2025,
Casa Delle Rose,,,info@casadellerose.it,casadellerose.info/,Località Ruttars 17,34070,Dolegna del Collio,Gorizia,Friuli Venezia Giulia,,3477515804,,,,No ribolla,,,,2/14/2025,
Crastin,,,info@vinicrastin.it,vinicrastin.it/,Località Ruttars 33,34070,Dolegna del Collio,Gorizia,Friuli Venezia Giulia,,481630310,,,,Sito in manutenzione,,,,2/14/2025,
"Montecorneo, 570",,,ciao@montecorneo570.com,montecorneo570.it/,Località S. Andrea D’Agliano,06132,Voc. Casella,Perugia,Umbria,,3357896890,,,,sito in manutenzione sta su altre enoteche on line,,,,12/17/2024,
Santa Maria La Palma,,,vini@santamarialapalma.it,santamarialapalma.it/,Località S. Maria La Palma,07041,Alghero,Sassari,Sardegna,,079999008,,,,- ( aragosta),,,,3/10/2025,
Le Tenute Di Carlo Pili,,,info@carlopili.it,carlopili.it/,Località Sa Misa,09040,Soleminis,Cagliari,Sardegna,,070749283,,,,,,,,12/17/2024,
Audarya,,,info@audarya.it,audarya.it/,"Località Sa Perdera Ss 466 Km 10,100",09040,Serdiana,Cagliari,Sardegna,,070740437,,,,,,,,12/15/2024,
Borgo Salcetino,,,borgosalcetino@livon.it,livon.it,"Località Salcetino, Lucarelli",53017,Radda in Chianti,Siena,Toscana,,0577733541,,,,chianti,,,,12/15/2024,
Fattoria Casagrande Sas,,,info@fattoriacasagrande.it,fattoriacasagrande.it/,"Località Salceto 33, 50067, Rignano Sull’Arno",50067,Rignano Sull'Arno,Firenze,Toscana,Luccioli Simone,0558349429,,,,donna claudia,,,,12/10/2024,
Tenuta Di Salviano,,,info@salviano.it,salviano.it/,Località Salviano,05023,Civitella del Lago,Terni,Umbria,,0744950459,,,,,,,,3/10/2025,
Ceretto,,,info@ceretto.com,ceretto.com,"Località San Cassiano, 34",12051,Alba,Cuneo,Piemonte,,0173282582 ,,,,,,,,,
Cantine San Clemente,,,michele@cantinesanclemente.it,cantinesanclemente.it/,Località San Clemente,06036,Montefalco,Perugia,Umbria,,0758043795,,,,,,,,12/17/2024,
Altiero,,,info@altieroinchianti.it,altieroinchianti.it,Località San Cresci 58A,50022,Greve in Chianti,Firenze,Toscana,,3395494893,,,,chainti,,,,12/15/2024,
Arillo In Terra Bianca ,,,info@arillointerrabianca.com,arillointerrabianca.com,Località San Fedele A Paterno,53017,Radda in Chianti,Siena,Toscana,,057754029,,,,chianti,,,,12/15/2024,
San Felice – Bell’Aja,,,info@sanfelice.com,agricolasanfelice.it,Località San Felice,53019,Castelnuovo Berardegna,Siena,Toscana,,057739911,,,,bolgheri,,,,12/15/2024,
Cantina Tondini,,,info@cantinatondini.it,cantinatondini.it/,Località San Leonardo,07023,Calangianus,Sassari,Sardegna,,3494157829,,,,vermentino di gallura 29 ago ci hanno mandato il listino sono cari e stanno anche su bernabei,,,,12/15/2024,
Tenuta San Leonardo - Guerrieri Di Gonzaga,,,info@sanleonardo.it,sanleonardo.it/,Località San Leonardo,38036,Borghetto,Bolzano,Trentino Alto Adige,,0464689004,,,,,,,,12/4/2024,
Belvedere Di San Leonino ,,,info@belvederedisanleonino.it,belvederedisanleonino.it,"Località San Leonino, 23",53011,Castellina in Chianti,Siena,Toscana,,335314563,,,,chianti,,,,12/15/2024,
Senatore Vini,,,info@senatorevini.com,senatorevini.com,Località San Lorenzo,88811,Cirò Marina,Crotone,Calabria,Vito Senatore,096232350,,,,,,,,12/4/2024,
Azienda Agricola Antonelli San Marco,FIVI,,info@antonellisanmarco.it,antonellisanmarco.it,"Località San Marco, 60",06036,Montefalco,Perugia,Umbria,,0742379158,,,,si visite anche cene caccia al tartufo sentieri guidati lezioni di cucina anche olio salumi e grappe,si,,,1/11/2025,
Azienda Agricola Fongoli,,,info@fongoli.com,fongoli.com/,"Località San Marco, 64",06036,Montefalco,Perugia,Umbria,,0742378930,,,,si visite 4 etichette,,,,1/12/2025,
La Disfida Vinitestardi,,,eugenioagricola@gmail.com,ND,Località San Martino Sul Flora S.C.,58014,Manciano,Grosseto,Toscana,,ND,,,,associato VAN nn trovo sito,,,,1/28/2025,
Alfonso Rotolo,Paestum Wine Fest,,info@alfonsorotolo.it,alfonsorotolo.it,Località San Matteo,84070,Rutino,Salerno,Campania,Alfonso Rotolo,3383839224,,,,,,,,12/5/2024,
Consoirzio San Michele Berchidda,,,info@consorziosanmichele.com,consorziosanmichele.com/,Località San Michele,07022,Berchidda,Sassari,Sardegna,,3357683310,,,,,,,,12/14/2024,
Famiglia Cotarella,,,info@famigliacotarella.it,famigliacotarella.it,"Località San Pietro, Snc",05020,Montecchio,Terni,Umbria,,0744 9556,,,,,,,,,
Tenute Rossini,,,tenute.rossini@gmail.com,tenuterossini.com/,"Località San Salvatore, 1",07030,Laerru,Sassari,Sardegna,,3405363814-,,,,,,,,12/15/2024,
Moretti Omero,,,info@morettiomero.it,morettiomero.it/,Località San Sebino 19/20,06030,Giano Dell'Umbria,Perugia,Umbria,,074290426,,,,anche olio e grappe si visite,,,,12/17/2024,
Tenuta Sant’Agata Massimo Bacchetta,,,tenutasantagata@gmail.com,tenutasantagata.it,"Località Sant’Agata, 160",57022,Castagneto Carducci,Livorno,Toscana,,ND,,,,bolgheri,,,,12/17/2024,
Argiano Srl Soc Agricola,,,argiano@argiano.net,argiano.net,Localita Sant'Angelo In Colle,53024,Montalcino,Siena,Toscana,,0577844037,,,,,,,,12/15/2024,
Tiare,,,info@tiaredoc.com,tiaredoc.com/,Località Sant'Elena,34070,Dolegna del Collio,Gorizia,Friuli Venezia Giulia,,48162491,,,,,,,,3/10/2025,
Il Fauno Marco Di Pietro ,,,ilfaunodibolgheri@gmail.com,ND,Località Sant’Uberto,57022,Castagneto Carducci,Livorno,Toscana,,3458266290,,,,bolgheri,,,,12/17/2024,
Terre Del Marchesato ,,,info@terredelmarchesato.com,terredelmarchesato.com,Località Sant’Uberto 164,57022,Castagneto Carducci,Livorno,Toscana,,0565749752,,,,,,,,,
Le Vigne Di Silvia Carlo Fuselli,,,info@levignedisilvia.com,levignedisilvia.com,"Località Sant’Uberto, 163",57022,Castagneto Carducci,Livorno,Toscana,,3341965187,,,,bolgheri,,,,12/17/2024,
Santa Barbara,,,info@tenutasantabarbara.com,tenutasantabarbara.com,Località Santa Barbara,01012,Capranica,Viterbo,Lazio,,333 49 82 645,,,,,,,,12/15/2024,
Tenuta Santa Lucia ,,,info@tenutasantalucia.com,tenutasantalucia.com,Località Santa Lucia,02047,Poggio Mirteto,Rieti,Lazio,,76524616,,,,,,,,12/11/2024,
Il Drago E La Fornace Srl,,,marketing@ildragoelafornace.com,ildragoelafornace.com,Località Santa Maria Della Fornace,53034,Colle di Val d’Elsa ,Siena,Toscana,,3272931429,,,,,,Nessun Feedback,,12/15/2024,
Az. Agricola Daniele  Viassone - Agnellii Viassone - ,,,agnelliviassone@gmail.com,agnelliviassone.it,"Località Santa Rosalia, 46",12051,Alba,Cuneo,Piemonte,,3332798737,,,,si visite,no,,,1/26/2025,
Ca' Marcanda ,,,info@camarcanda.com,camarcanda.com,Località Santa Teresa,57022,Castagneto Carducci,Livorno,Toscana,,0565763809,,,,bolgheri,,,,12/17/2024,
Cantina Alba & Spanedda,,,info@cantinaalba.com,cantinaalba.com/,Località Sas Funtanas,07040,Tissi,Sassari,Sardegna,,3336001927,,,,,,,,,
Cantina Depperu,,,info@cantinadepperu.it,cantinadepperu.it/,Località Sas Ruinas,07025,Luras,Sassari,Sardegna,,079647314,,,,vermentino di gallura,,,,12/15/2024,
Agricola Mevante,,,apresciutti@agricolamevante.com,agricolamevante.com,"Località Sasso, Via Madonna Della Neve, 1",06131,Bevagna,Perugia,Umbria,,3498057501,,,,fanno visite hanno anche ristorante,,,,1/29/2025,
Falluto ,,,info@falluto.it,falluto.it/,Località Saude,82030,Torrecuso,Benevento,Campania,,0824876260,,,,si shop on line si agriturismo,,,,12/5/2024,
Genio Vini,,,giovanni.genio@gmail.com,geniovini.it/,"Località Savorgnano Del Torre - Via Dei Monti, 12",33040,Povoletto,Udine,Friuli Venezia Giulia,,3407845021,,,,,,,,2/10/2025,
Graunar Wines,,,graunarwines@libero.it,graunarwines.it/,Località Scedina 26,34070,San Floriano del Collio,Gorizia,Friuli Venezia Giulia,,0481/884115,,,,,,,,2/14/2025,
Grudina,,,info@grudina.it,grudina.it/,Località Scriò,34070,Dolegna del Collio,Gorizia,Friuli Venezia Giulia,,481629009,,,,No Bottiglia Collio,,,,2/16/2025,
Podere Il Castellaccio Alessandro Scappini,,,info@podereilcastellaccio.it,podereilcastellaccio.it,"Località Segalari, 102",57022,Castagneto Carducci,Livorno,Toscana,,0565776806,,,,bolgheri,,,,12/17/2024,
Società Agricola Siddùra S.N.C.,,,amministrazione@siddura.com,siddura.com,Località Siddùra S.C.,07020,Luogosanto,Sassari,Sardegna,,0230458075,,,,inviato messaggio su loro sito provare a chiamare,,,,12/15/2024,
Cantine Soletta,,,info@tenutesoletta.com,tenutesoletta.com,Località Signor'Anna,07040,Codrongianos,Sassari,Sardegna,,3483315781,,,,vermentino di sardegna e cannonau,,,,12/15/2024,
Lamborghini,,,info@tenutalamborghini.com,tenutalamborghini.com/,"Località Soderi, 1",06064,Panicale,Perugia,Umbria,,758350029,,,,si visite vino olio si hospitality anche golf club,,,,12/17/2024,
Azienda Agricola Pellegrini Franco,FIVI,,info@pellegrinifranco.it,pellegrinifranco.it/,Località Solinga 15,27049,Stradella,Pavia,Lombardia,,38588305,,,,,,,,12/8/2024,
Cristiana Bettili Wines,,,info@cristianabettiliwines.it,cristianabettiliwines.it,"Località Sorsei, 1",37010,Cavaion Veronese,Verona,Veneto,,348 800 9670,,,,,,,,,
Il Carpino,FIVI,,ilcarpino@ilcarpino.com,ilcarpino.com,Località Sovenza 14/A,34070,San Floriano del Collio,Gorizia,Friuli Venezia Giulia,,3284721151,,,,,,,,2/16/2025,
Tenuta Guardastelle ,,,info@guardastelle.com,guardastelle.com/,Località Sovestro,53037,San Gimignano,Siena,Toscana,,0577907209,,,,si visite si shop,,,,3/5/2025,
Rodaro Paolo,,,info@rodaropaolo.it,rodaro.it,"Località Spessa - Via Cormòns, 60",33043,Cividale del Friuli,Udine,Friuli Venezia Giulia,,432910614,,,,,,,,12/15/2024,
Castello Di Stefanago,FIVI,,info@castellodistefanago.it,castellodistefanago.it/,"Località Stefanago, 1",27040,Borgo Priolo,Pavia,Lombardia,,3356992052,,,,,,,,12/8/2024,
Cantina Mesa,,,info@cantinamesa.com,cantinamesa.com/it-IT,"Località Su Baroni, 09010 Sant'Anna Arresi Su",09010,Sant'Anna Arresi,Sud Sardegna,Sardegna,,0781965057,,,,email tornano indietro chiamare mandato messaggio sul sito,,,,12/15/2024,
Cantina Nuraghe Crabioni,,,info@nuraghecrabioni.com,nuraghecrabioni.it/,Località Su Crabioni,07037,Sorso,Sassari,Sardegna,,3468292457,,,,vermentino di sardegna e cannonau cagnulari romangia,,,,12/15/2024,
Azienda Vitivinicola Ferruccio Deiana,,,info@ferrucciodeiana.it,ferrucciodeiana.it/it,Località Su Leunaxi,09040,Settimo S. Pietro,Cagliari,Sardegna,,070767960,,,,si visite,,,,12/17/2024,
Madonna Del Latte Società Agricola S.S.,FIVI,,info@madonnadellatte.it,madonnadellatte.it,"Località Sugano, 11",05018,Orvieto,Terni,Umbria,,763217760,,,,,,,,12/15/2024,
Tenuta Di Tavignano,abbiamo visitato la cantina,Roberto,hospitality@tenutaditavignano.it,tenutaditavignano.it/,Località Tavignano,62011,Cingoli,Macerata,Marche,,3783038802,,,,CONTATTARE Sono andato a trovarli in visita. reinoltrata pres. 13 ago,,Nessun Feedback,,12/11/2024,
Sabatini Gin - Teccognano S.r.l.,,,info@sabatinigin.com,sabatinigin.com,"Località Teccognano, C.S. 565",52044,Cortona,Arezzo,Toscana,,ND,,,,"ottimo gin, grande azienda",,,,12/15/2024,
Cantina Di Talavè,,,nd,talave.it/,Località Telavè,08040,Triei,Nuoro,Sardegna,,3395651784,,,,,,,,,
Collecapretta,,,info@collecapretta.it,collecapretta.it/,"Località Terzo La Pieve, 70",06049,Spoleto,Perugia,Umbria,,0743268529,,,,vino e olio si degustazioni solo su prenotazione,,,,3/8/2025,
Percivalle,FIVI,,info@percivalle.com,percivalle.com,"Località Torchi, S.N.C.",27040,Borgo Priolo,Pavia,Lombardia,,3389397904,,,,,,,,12/8/2024,
Azienda Vinicola La Carraia,,,info@lacarraia.it,info@lacarraia.it,"Località Tordimonte, 56",05018,Orvieto,Terni,Umbria,,0763304013,,,,anche olio,,,,12/17/2024,
Cantina Arcadia,,,nd,ND,"Località Tordimonte, 67",05018,Orvieto,Terni,Umbria,,ND,,,,nn trovo contatti,,,,,
Torrazzetta,FIVI,,sergio@torrazzetta.it,torrazzettavini.it/it/,"Località Torrazzetta, 1",27040,Borgo Priolo,Pavia,Lombardia,,383871041,,,,si visite hanno anche agruturismo molto carino sito ed etichette anche altri prodotti olio conf etture e ortaggi,,,,1/20/2025,
Torre Bisenzio ,,,info@torrebisenzio.com,torrebisenzio.com/it/contatti/,Località Torre Bisenzio,05011,Allerona,Terni,Umbria,,3207738413,,,,si visite anche olio e chianina,,,,1/14/2025,
Arnaldo Caprai,,,info@arnaldocaprai.it,arnaldocaprai.it,"Località Torre, 1",06036,Montefalco,Perugia,Umbria,,0742378802,,,,,,,,,
Castelgrosso Srl,FIVI,,agricolacastelgrosso@gmail.com,agricolacastelgrosso.it,"Località Torregrosso, 318",06044,Castel Ritaldi,Perugia,Umbria,,3397821406,,,,,,,,12/15/2024,
Rosset,,,info@rosseterroir.it,rosseterroir.it,"Località Torrent De Maillod, 4",11020,Quart,Aosta,Valle d'Aosta,,0165774111,,,,,,,,1/27/2025,
La Torretta,FIVI,,info@tenutalatorretta.com,tenutalatorretta.com,"Località Torretta Di Sala Mandelli, 9",29031,Alta Val Tidone,Piacenza,Emilia Romagna,,348603 8022,,,,,,,,12/6/2024,
Scala Vigneti E Cantina,FIVI,,info@cantinascala.it,cantinascala.it,"Località Torricella Di San Biagio, S.N.C.",88811,Cirò Marina,Crotone,Calabria,,39096232716,,,,,,,,12/6/2024,
Fattoria Loppiano ,,,biofattorialoppiano4.0@loppiano.it,fattorialoppiano.it,Località Tracolle 2 - Loppiano,50064,Figline E Incisa Valdarno,Firenze,Toscana,,3472647743,,,,chianti si shop on line,,,,12/17/2024,
Podere Paganini,FIVI,,info@poderepaganini.it,poderepaganini.it,"Località Tradoni, 8",29020,Travo,Piacenza,Emilia Romagna,,523959257,,,,,,,,12/6/2024,
Radikon,,,info@radikon.it,radikon.it,"Località Tre Buchi, 4",34170,Gorizia,Gorizia,Friuli Venezia Giulia,,0481 32804,01089460313,,,,,,,,
Ascevi Luwa,,,p-l@libero.it,asceviluwa.it/ascevi-luwa-ita.html,Località Uclanzi 24,34070,San Floriano del Collio,Gorizia,Friuli Venezia Giulia,,481884140,,,,No Bottiglia Collio,,,,2/12/2025,
Usiglian Del Vescovo,,,info@usigliandelvescovo.it,usigliandelvescovo.it,Località Usigliano,56036,Palaia,Pisa,Toscana,,0587468000,,,,,,,,,
Valdicava,,,info@valdicava.com,valdicava.it,Località Val Di Cava,53024,Montalcino,Siena,Toscana,,0577848261,,,,,,,,,
Franco Terpin,,,francoterpin@virgilio.it,ND,Località Valerisce 6/A,34070,San Floriano del Collio,Gorizia,Friuli Venezia Giulia,,3463304134,,,,vini naturali,,,,2/14/2025,
Simon Komjanc,,,cantinasimon@gmail.com,cantinasimon.it,Località Valerisce 9,34070,San Floriano del Collio,Gorizia,Friuli Venezia Giulia,,3287098939,,,,distribuito da proposta vini - naturale,,,,2/19/2025,
Humar Vini,,,info@humar.it,humar.it/,"Località Valerisce, 20.",34070,San Floriano del Collio,Gorizia,Friuli Venezia Giulia,P.IVA 00165900317,481884197,,,,,,,,2/14/2025,
Mania’ Wines,,,info@maniawines.com,maniawines.com,"Località Valerisce, 5/A",34070,San Floriano del Collio,Gorizia,Friuli Venezia Giulia,,3356024254,00551090319,,,,,,,,
Tenuta Sant’Helena,,,fantinel@fantinel.com,fantinel.com/tenutasanthelena/,Località Vencò,34070,Dolegna del Collio,Gorizia,Friuli Venezia Giulia,,0427591511,,,,No Bottiglia Collio fa parte del gruppo Fantinel,,,,2/19/2025,
Pizzutti,,,terredelcollio@alice.it,info-pizzutivino-it.webnode.it/,Località Vencò 7,34070,Dolegna del Collio,Gorizia,Friuli Venezia Giulia,,481639774,,,,No Bottiglia Collio,,,,2/17/2025,
Fabio Motta ,,,info@mottafabio.it,mottafabio.it,Località Vigna Al Cavaliere,57022,Castagneto Carducci,Livorno,Toscana,,3461403750,,,,bolgheri,,,,12/17/2024,
Pucciarella ,,,info@pucciarella.it,pucciarella.it/,Località Villa,06063,Magione,Perugia,Umbria,,0758409147,,,,si visite anche hospitality,,,,12/17/2024,
Cantrina,FIVI,,info@cantrina.it,cantrina.it,"Via Colombera, 7",25081,Bedizzole,Brescia,Lombardia,,3356362137,,,,,,,,12/6/2024,
Cantina Agricola Bio Meo Modo-Cantina Cà Di Papi,FIVI,,info@meomodo.bio,meomodo.bio,"Località Villalunga, 54",17020,Stellanello,Savona,Liguria,,3389658546,,,,,,,,1/27/2025,
Villa Rosa ,,,nd,villarosa.wine/it,Località Villarosa,53011,Castellina in Chianti,Siena,Toscana,,057754311,,,,famiglia cecchi no email su sito,,,,12/9/2024,
Azienda Agraria Pecci Celestino Loc. Viti – San Carlo – 53024 Montalcino (Si),,,info@aziendapeccicelestino.com,aziendapeccicelestino.com,Località Viti – San Carlo,53024,Montalcino,Siena,Toscana,,3881236765,,,,,,,,1/8/2025,
Podere La Pace ,,,info@poderelapace.com,poderelapace.com,Località Vivoli,58024,Massa Marittima,grosseto,Toscana,,3791840252,,,,,,,,1/8/2025,
Le Cime Basse,,Alessandra,lecimebasse@gmail.com,lecimebasse.it,"Località Vocabolo Balzani, Snc",62024,Matelica,Macerata,Marche,Giovanni Lippera,3356636810,,,,,,Nessun Feedback,,12/11/2024,
Pian Della Chiesa,FIVI,,o.muzifalconi@icloud.com,piandellachiesa.com,"Località Zanego, S.N.C.",19032,Lerici,La-Spezia,Liguria,,3482519544,,,,,,,,12/4/2024,
Sturm,,,sturm@sturm.it,sturm.it/,Località Zegla 1,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,48160720,,,,no bottiglia collio,,,,2/19/2025,
Gaspare Buscemi,,,info@gasparebuscemi.com,gasparebuscemi.com/,Località Zegla 1/Bis,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,48160798,,,,No Bottiglia Collio,,,,2/14/2025,
Renato Keber,,,info@renatokeber.com,renatokeber.com/,Località Zegla 15,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,481639844,,,,Naturale,,,,2/17/2025,
Edi Keber,,,edi.keber@virgilio.it,edikeber.it/index.php?l=it,Località Zegla 17,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,048161184,,,,Naturale,,,,,
Branko Wines,,,info@brankowines.com,brankowines.com/,Località Zegla 20,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,481639826,,,,No Bottiglia Collio,,,,2/12/2025,
Blazic Societa’ Agricola Semplice,FIVI,,vinicollio@blazic.it,blazic.it,"Località Zegla, 16",34071,Cormòns,Gorizia,Friuli Venezia Giulia,,48161720,,,,INTERESSANTE CONTATTARE SE VUOLE FARE SCAMBIO MERCE CON LA VISIBILITà,,,,2/9/2025,
Puiatti,,,info@puiatti.it,puiatti.com/it/,Località Zuccole 4,34076,Romans d'Isonzo,Gorizia,Friuli Venezia Giulia,email tornata indieetro chiamare,481909608,,,,No Bottiglia Collio,,,,2/17/2025,
Azienda Agricola Altavia,,,info@altavia.im.it,altavia.im.it,"Localita' Arcagna, Snc",18035,Dolceacqua,Imperia,Liguria,,018431539,01317440087,,,dolceacqua rossese,,,,1/27/2025,
Lotti – Azienda Agricola Biologica,FIVI,,info@aziendaagricolabiologicalotti.com,aziendaagricolabiologicalotti.com,"Localita' Ascarella, S.C.",01010,Cellere,Viterbo,Lazio,,3342583999,,,,,,,,1/25/2025,
Fattoria Mantellassi ,,,info@fattoriamantellassi.it,fattoriamantellassi.it,Localita' Banditaccia,58051,Magliano in Toscana,Grosseto,Toscana,,0564592037,,,,,,,,12/10/2024,
Campo Chiarenti ,,,info@campochiarenti.it,campochiarenti.it,"Localita' Campochiarenti, 15",53037,San Giminiano,Siena,Toscana,,0577933754,,,,,,,,1/20/2025,
Poggio Di Sotto ,,,info@poggiodisotto.it,poggiodisotto.it,Localita' Castelnuovo Dell'Abate,53024,Montalcino,Siena,Toscana,,0577835502,,,,,,,,12/17/2024,
Podere Marella,FIVI,,info@poderemarella.com,poderemarella.com,"Localita' Ferretto, 32",06061,CASTIGLIONE DEL LAGO,Perugia,Umbria,,759659028,,,,ha risposto alla mail 16 ottobre per vineis chiesta call ok fattta 21 ottobre interessati a vienis e stappando attendere listino poi vedere cosa proporre,,,,12/15/2024,
Agricola Ficomontanino Srl - Terre Del Fico,,,info@agricolaficomontanino.it,ficomontanino.it/,Localita' Ficomontanino,53043,Chiusi,Siena,Toscana,,065561283,,,,,,,,12/17/2024,
I Doria Di Montalto,,,info@vinidoria.com,vinidoria.it/,"Localita' La Colombina, 1",27040,Montalto Pavese,pavia,Lombardia,Davide,3488012330,,,,,,,,12/8/2024,
Tua Rita,,,info@tuarita.it,tuarita.it,"Localita’ Notri, 81",57028,Suvereto,Livorno,Toscana,,0565829237,,,,,,,,,
San Polino,,,vino@sanpolino.it,sanpolino.it,"Localita' Pod. S. Polino, 163",53024,Montalcino,Siena,Toscana,,0577 835775,,,,,,,,,
Brancaia,,,brancaia@brancaia.it,brancaia.com,"Localita' Poppi, 42",53017,Radda in Chianti,Siena,Toscana,,0577 742007,,,,chianti classico,,,,12/15/2024,
Podere Acquaccina,FIVI,,info@podereacquaccina.com,podereacquaccina.com,"Localita' Sugano, 9A",05018,Orvieto,Terni,Umbria,,3291808012,,,,,,,,12/15/2024,
Giorgi Franco,FIVI,,info@aziendagiorgifranco.it,aziendagiorgifranco.it,"Loglio Di Sotto, 16",27040,Montu' Beccaria,Pavia,Lombardia,,385241770,,,,,,,,12/8/2024,
Torre Raone,,,info@torreraone.com,torreraone.com/,Loreto Aprutino,65014,Loreto Aprutino,Pescara,Abruzzo,,085828969,,,,da elenco claudio inviata mail di nuvo 20 gennaio ha risposto vuole info per vinesi chiamata interessata per ora solo a vineis,,Nessun Feedback,,1/20/2025,
